
 FES - Finite Element Solver 
 MATLAB version 3/23/2015 
 v2 mixed brick 8 element is added: 04/25/2015 
 v2 bug how to calculate deformation gradient: 04/21/2015 
 v2 1 point integration is added: 04/20/2015 
 
Element type:      QUAD4 	 Node Number per element:  4 
Total node number:     63 	 Total element number:     40

 

 STEP:     1
Iter:   1 	 r: 6.01e+00 	 N(r): 1.00e+00 	 time: 6.68e+00 
Iter:   2 	 r: 3.40e-01 	 N(r): 5.65e-02 	 time: 6.72e+00 
Iter:   3 	 r: 6.37e-03 	 N(r): 1.06e-03 	 time: 6.76e+00 
Iter:   4 	 r: 3.58e-07 	 N(r): 5.96e-08 	 time: 6.80e+00 
Iter:   5 	 r: 3.31e-11 	 N(r): 5.51e-12 	 time: 6.84e+00 

 STEP:    36
Iter:   1 	 r: 4.63e+00 	 N(r): 1.00e+00 	 time: 6.88e+00 
Iter:   2 	 r: 7.40e-01 	 N(r): 1.60e-01 	 time: 6.92e+00 
Iter:   3 	 r: 9.23e-03 	 N(r): 1.99e-03 	 time: 6.96e+00 
Iter:   4 	 r: 3.02e-06 	 N(r): 6.51e-07 	 time: 7.00e+00 
Iter:   5 	 r: 3.63e-11 	 N(r): 7.83e-12 	 time: 7.04e+00 

 STEP:    37
Iter:   1 	 r: 4.32e+00 	 N(r): 1.00e+00 	 time: 7.08e+00 
Iter:   2 	 r: 9.47e-01 	 N(r): 2.19e-01 	 time: 7.12e+00 
Iter:   3 	 r: 9.18e-03 	 N(r): 2.13e-03 	 time: 7.16e+00 
Iter:   4 	 r: 4.84e-06 	 N(r): 1.12e-06 	 time: 7.20e+00 
Iter:   5 	 r: 3.97e-11 	 N(r): 9.20e-12 	 time: 7.24e+00 

 STEP:    38
Iter:   1 	 r: 4.95e+00 	 N(r): 1.00e+00 	 time: 7.28e+00 
Iter:   2 	 r: 8.65e-01 	 N(r): 1.75e-01 	 time: 7.32e+00 
Iter:   3 	 r: 7.51e-03 	 N(r): 1.52e-03 	 time: 7.36e+00 
Iter:   4 	 r: 2.48e-06 	 N(r): 5.01e-07 	 time: 7.40e+00 
Iter:   5 	 r: 5.18e-11 	 N(r): 1.05e-11 	 time: 7.44e+00 

 STEP:    39
Iter:   1 	 r: 6.84e+00 	 N(r): 1.00e+00 	 time: 7.48e+00 
Iter:   2 	 r: 4.38e-01 	 N(r): 6.41e-02 	 time: 7.52e+00 
Iter:   3 	 r: 2.53e-03 	 N(r): 3.71e-04 	 time: 7.56e+00 
Iter:   4 	 r: 6.10e-08 	 N(r): 8.92e-09 	 time: 7.60e+00 
Iter:   5 	 r: 2.35e-11 	 N(r): 3.43e-12 	 time: 7.64e+00 

 STEP:    40
Iter:   1 	 r: 9.96e+00 	 N(r): 1.00e+00 	 time: 7.68e+00 
Iter:   2 	 r: 2.71e-02 	 N(r): 2.73e-03 	 time: 7.72e+00 
Iter:   3 	 r: 1.28e-04 	 N(r): 1.29e-05 	 time: 7.76e+00 
Iter:   4 	 r: 3.51e-11 	 N(r): 3.52e-12 	 time: 7.80e+00 

 STEP:    41
Iter:   1 	 r: 1.04e+01 	 N(r): 1.00e+00 	 time: 7.84e+00 
Iter:   2 	 r: 1.29e-02 	 N(r): 1.25e-03 	 time: 7.88e+00 
Iter:   3 	 r: 5.10e-04 	 N(r): 4.92e-05 	 time: 7.92e+00 
Iter:   4 	 r: 1.92e-10 	 N(r): 1.86e-11 	 time: 7.96e+00 

 STEP:    42
Iter:   1 	 r: 5.08e+00 	 N(r): 1.00e+00 	 time: 8.00e+00 
Iter:   2 	 r: 1.35e-01 	 N(r): 2.66e-02 	 time: 8.04e+00 
Iter:   3 	 r: 2.77e-03 	 N(r): 5.44e-04 	 time: 8.08e+00 
Iter:   4 	 r: 1.79e-08 	 N(r): 3.52e-09 	 time: 8.12e+00 
Iter:   5 	 r: 3.42e-11 	 N(r): 6.72e-12 	 time: 8.16e+00 

 STEP:    43
Iter:   1 	 r: 1.49e+00 	 N(r): 1.00e+00 	 time: 8.20e+00 
Iter:   2 	 r: 1.05e+00 	 N(r): 7.07e-01 	 time: 8.24e+00 
Iter:   3 	 r: 1.22e-04 	 N(r): 8.20e-05 	 time: 8.28e+00 
Iter:   4 	 r: 6.46e-08 	 N(r): 4.34e-08 	 time: 8.32e+00 
Iter:   5 	 r: 4.50e-11 	 N(r): 3.02e-11 	 time: 8.36e+00 

 STEP:    44
Iter:   1 	 r: 5.51e-01 	 N(r): 1.00e+00 	 time: 8.40e+00 
Iter:   2 	 r: 1.74e+00 	 N(r): 3.16e+00 	 time: 8.44e+00 
Iter:   3 	 r: 2.33e-03 	 N(r): 4.23e-03 	 time: 8.48e+00 
Iter:   4 	 r: 6.33e-06 	 N(r): 1.15e-05 	 time: 8.52e+00 
Iter:   5 	 r: 4.16e-11 	 N(r): 7.55e-11 	 time: 8.56e+00 

 STEP:    45
Iter:   1 	 r: 4.33e-01 	 N(r): 1.00e+00 	 time: 8.60e+00 
Iter:   2 	 r: 1.84e+00 	 N(r): 4.24e+00 	 time: 8.64e+00 
Iter:   3 	 r: 3.71e-03 	 N(r): 8.56e-03 	 time: 8.68e+00 
Iter:   4 	 r: 9.98e-06 	 N(r): 2.30e-05 	 time: 8.72e+00 
Iter:   5 	 r: 3.37e-11 	 N(r): 7.78e-11 	 time: 8.76e+00 

 STEP:    46
Iter:   1 	 r: 4.38e-01 	 N(r): 1.00e+00 	 time: 8.80e+00 
Iter:   2 	 r: 1.69e+00 	 N(r): 3.85e+00 	 time: 8.84e+00 
Iter:   3 	 r: 3.33e-03 	 N(r): 7.60e-03 	 time: 8.88e+00 
Iter:   4 	 r: 6.52e-06 	 N(r): 1.49e-05 	 time: 8.92e+00 
Iter:   5 	 r: 3.93e-11 	 N(r): 8.97e-11 	 time: 8.96e+00 

 STEP:    47
Iter:   1 	 r: 4.50e-01 	 N(r): 1.00e+00 	 time: 9.00e+00 
Iter:   2 	 r: 1.49e+00 	 N(r): 3.31e+00 	 time: 9.04e+00 
Iter:   3 	 r: 2.58e-03 	 N(r): 5.73e-03 	 time: 9.08e+00 
Iter:   4 	 r: 3.39e-06 	 N(r): 7.54e-06 	 time: 9.12e+00 
Iter:   5 	 r: 3.58e-11 	 N(r): 7.96e-11 	 time: 9.16e+00 

 STEP:    48
Iter:   1 	 r: 4.59e-01 	 N(r): 1.00e+00 	 time: 9.20e+00 
Iter:   2 	 r: 1.30e+00 	 N(r): 2.84e+00 	 time: 9.24e+00 
Iter:   3 	 r: 1.92e-03 	 N(r): 4.17e-03 	 time: 9.28e+00 
Iter:   4 	 r: 1.68e-06 	 N(r): 3.66e-06 	 time: 9.32e+00 
Iter:   5 	 r: 2.76e-11 	 N(r): 6.02e-11 	 time: 9.36e+00 

 STEP:    49
